,overall_qual_x,gr_liv_area_x,garage_area_x,garage_cars_x,total_bsmt_sf_x,1st_flr_sf_x,year_built_x,year_remod/add_x,full_bath_x,garage_yr_blt_x,mas_vnr_area_x,totrms_abvgrd_x,fireplaces_x,ms_subclass_x,open_porch_sf_x,wood_deck_sf_x,lot_area_x,bsmt_full_bath_x,half_bath_x,2nd_flr_sf_x,bsmt_unf_sf_x,bedroom_abvgr_x,screen_porch_x,overall_cond_x,saleprice_x
0,6,1479,475.0,2.0,725.0,725,1976,2005,2,1976.0,289.0,6,0,60,44,0,13517,0.0,1,754,192.0,3,0,8,130500
1,7,2122,559.0,2.0,913.0,913,1996,1997,2,1997.0,132.0,8,1,60,74,0,11492,1.0,1,1209,276.0,4,0,5,220000
2,5,1057,246.0,1.0,1057.0,1057,1953,2007,1,1953.0,0.0,5,0,20,52,0,7922,1.0,0,0,326.0,3,0,7,109000
3,5,1444,400.0,2.0,384.0,744,2006,2007,2,2007.0,0.0,7,0,60,0,100,9802,0.0,1,700,384.0,3,0,5,174000
4,6,1445,484.0,2.0,676.0,831,1900,1993,2,1957.0,0.0,6,0,50,59,0,14235,0.0,0,614,676.0,3,0,8,138500
5,6,1888,578.0,2.0,1517.0,1888,1966,2002,2,1966.0,0.0,6,1,20,0,0,16492,0.0,1,0,557.0,2,0,6,190000
6,6,1072,525.0,2.0,547.0,1072,2005,2006,2,2005.0,82.0,5,0,180,44,0,3675,1.0,0,0,0.0,2,0,5,140000
7,5,1188,531.0,2.0,1188.0,1188,1959,1959,1,1959.0,180.0,6,0,20,0,0,12160,1.0,0,0,188.0,3,0,5,142000
8,5,924,420.0,1.0,924.0,924,1952,1952,1,1952.0,0.0,6,0,20,324,0,15783,0.0,0,0,632.0,2,0,5,112500
9,5,2080,504.0,2.0,1040.0,1040,1969,1969,1,1969.0,192.0,9,2,60,0,335,11606,0.0,2,1040,390.0,5,0,5,135000
10,6,987,264.0,1.0,483.0,483,1971,1971,1,1971.0,232.0,4,0,160,0,0,1680,0.0,1,504,96.0,2,0,5,85400
11,7,1208,632.0,2.0,1208.0,1208,2005,2005,2,2005.0,0.0,6,0,20,58,105,7488,0.0,0,0,815.0,2,0,5,183600
12,5,2016,576.0,2.0,0.0,1288,1880,2007,1,1900.0,0.0,7,1,70,0,0,26400,0.0,0,728,0.0,4,0,7,131000
13,8,1607,480.0,2.0,960.0,962,1999,2000,2,2000.0,456.0,7,0,160,0,169,2645,1.0,1,645,147.0,3,0,5,200000
14,7,1361,610.0,2.0,1351.0,1361,2007,2007,2,2007.0,0.0,6,0,20,50,0,9627,0.0,0,0,1327.0,3,0,5,193000
15,5,1430,624.0,2.0,1430.0,1430,2004,2005,2,2004.0,0.0,7,0,20,0,0,10114,0.0,0,0,1430.0,3,0,5,173500
16,5,1344,513.0,3.0,624.0,624,1916,1950,1,1916.0,0.0,7,0,70,0,0,4571,0.0,0,720,624.0,4,0,5,98000
17,5,1121,480.0,2.0,1121.0,1121,1963,1963,1,1963.0,0.0,5,0,20,80,0,8816,1.0,0,0,470.0,3,0,6,139000
18,6,1285,528.0,2.0,660.0,1285,1977,1977,1,1977.0,148.0,7,1,20,0,138,8197,0.0,1,0,660.0,3,0,5,143500
19,7,1547,614.0,2.0,756.0,764,2009,2009,2,2009.0,0.0,7,0,60,45,169,8640,0.0,1,783,732.0,3,0,5,215200
20,5,894,450.0,2.0,894.0,894,1968,1968,1,1968.0,0.0,5,1,20,0,0,8724,0.0,0,0,402.0,3,0,5,129000
21,8,1659,499.0,2.0,1501.0,1659,2000,2000,2,2000.0,0.0,5,1,120,59,212,5664,1.0,0,0,343.0,2,0,5,278000
22,8,2253,575.0,2.0,1209.0,1209,2005,2006,2,2005.0,0.0,8,1,60,142,243,12867,0.0,1,1044,1209.0,3,0,5,344133
23,6,1187,420.0,2.0,1168.0,1187,1992,2007,2,1992.0,0.0,6,0,20,21,483,7980,1.0,0,0,233.0,3,0,7,185000
24,5,1056,572.0,2.0,1056.0,1056,1955,1955,1,1955.0,0.0,5,0,190,0,264,34650,1.0,0,0,0.0,3,0,5,145000
25,6,1453,530.0,2.0,1453.0,1453,1961,1961,2,1961.0,3.0,6,1,20,49,0,10573,1.0,0,0,141.0,3,288,6,187500
26,5,894,336.0,1.0,894.0,894,1965,2009,1,1973.0,0.0,5,1,20,144,416,8450,1.0,0,0,224.0,3,0,8,138500
27,5,1938,240.0,1.0,942.0,1265,1937,1995,2,1937.0,0.0,7,1,50,40,0,11700,0.0,0,673,336.0,4,0,6,198000
28,5,1991,0.0,0.0,957.0,1034,1895,2006,2,1980.0,0.0,9,0,190,0,0,8250,0.0,0,957,957.0,4,0,6,119600
29,5,924,576.0,2.0,672.0,672,1949,2006,1,2003.0,0.0,6,1,50,0,0,8064,0.0,0,252,672.0,3,0,7,122900
30,8,2524,542.0,2.0,2524.0,2524,1981,1981,2,1981.0,0.0,9,1,20,120,474,9600,1.0,1,0,1420.0,4,0,5,278000
31,8,1517,400.0,2.0,792.0,792,1929,1950,1,1931.0,0.0,7,2,70,0,0,11435,0.0,0,725,792.0,3,0,7,230000
32,8,1494,481.0,2.0,1494.0,1494,1995,1996,1,1995.0,0.0,6,1,120,30,0,9549,1.0,1,0,0.0,2,216,5,270000
33,6,948,410.0,2.0,948.0,948,1952,1952,1,1952.0,0.0,5,0,20,48,0,10950,0.0,0,0,507.0,2,0,6,125000
34,8,1718,826.0,3.0,1705.0,1718,2007,2008,2,2007.0,336.0,7,1,20,44,208,10637,1.0,0,0,417.0,3,0,5,297000
35,6,1142,384.0,1.0,160.0,1142,1958,1958,1,1958.0,82.0,5,1,20,28,0,9000,0.0,0,0,160.0,2,0,6,113500
36,5,1475,336.0,1.0,757.0,925,1977,1977,2,1977.0,0.0,6,1,160,26,104,2665,0.0,0,550,36.0,4,0,6,127000
37,6,1844,546.0,2.0,1844.0,1844,1977,1977,2,1977.0,480.0,7,1,20,122,0,11751,0.0,0,0,1139.0,3,0,6,190000
38,7,1242,528.0,2.0,1242.0,1242,1973,1973,1,1973.0,320.0,6,1,20,0,0,9600,0.0,1,0,326.0,3,0,6,175500
39,5,990,384.0,1.0,990.0,990,1994,1994,1,1995.0,0.0,5,0,20,0,256,8428,1.0,0,0,570.0,3,0,7,146000
40,5,1256,276.0,1.0,1256.0,1256,1965,1965,1,1965.0,0.0,6,0,20,68,736,9937,1.0,1,0,136.0,3,0,6,147500
41,10,2076,850.0,3.0,2076.0,2076,2006,2006,2,2006.0,0.0,7,1,20,229,216,13891,1.0,1,0,690.0,2,0,5,465000
42,5,1110,602.0,2.0,1097.0,1110,1978,1978,1,1978.0,104.0,4,1,85,30,303,9101,1.0,0,0,0.0,1,0,6,165500
43,5,1795,352.0,1.0,1050.0,1050,1954,1954,2,1954.0,335.0,7,0,50,0,0,12150,0.0,0,745,1050.0,4,0,5,131500
44,5,1040,384.0,1.0,1040.0,1040,1965,1965,1,1965.0,0.0,5,0,20,0,0,11200,1.0,0,0,134.0,3,0,5,129500
